Failed,15,,
"[247, 77, 60, 9, -7, 3]",1611666260.pickle,101,900.0000000000592
Failed,13,,
Failed,49,,
Failed,64,,
Failed,1,,
Failed,3,,
Failed,54,,
Failed,51,,
Failed,40,,
"[239, 172, 60, 8, -8, 3]",1611669221.pickle,101,1071.8000000000666
"[190, 12, 60, 6, -10, 3]",1611669606.pickle,101,991.4000000000768
"[215, 184, 60, 8, -7, 3]",1611669799.pickle,101,1082.0000000000618
Failed,13,,
"[208, 56, 60, 7, -8, 3]",1611670570.pickle,101,981.1000000000747
Failed,40,,
"[196, 166, 60, 7, -8, 3]",1611671002.pickle,101,1142.7000000000335
"[212, 121, 60, 7, -8, 3]",1611671191.pickle,101,1072.1000000000663
"[182, 170, 60, 6, -8, 3]",1611671593.pickle,101,1254.099999999975
"[245, 33, 60, 5, -6, 3]",1611671800.pickle,101,1123.100000000041
Failed,1,,
"[222, 66, 60, 6, -9, 3]",1611673431.pickle,101,1082.300000000062
"[240, 85, 60, 4, -9, 3]",1611673731.pickle,101,1406.399999999885
Failed,25,,
"[203, 146, 60, 11, -11, 3]",1611674328.pickle,101,889.7000000000578
